Name,Density,StationID,Pump,VolumePresent,Min,Max,ExpiryDate
TEOA-0-5VV,1.0,0,2,448.26004,0.0,5.0,2019.08.05.13.58.05
water,1.0,0,1,1459.6597,0.0,5.0,2019.08.02.12.09.29
NaCl-1M,1.0492,9001,1,0.0,0.0,5.0,2019.06.28.12.34.17
NaNO3-1M,1.05356,9001,2,0.0,0.0,5.0,2019.06.06.12.34.19
Na2SO4-1M,1.1566,9001,3,0.0,0.0,5.0,2019.06.06.12.34.21
Na2CO3-1M,1.1592,9001,4,0.0,0.0,5.0,2019.06.06.12.34.24
NaHCO3-1M,1.0786,9001,5,0.0,0.0,5.0,2019.06.06.12.34.26
Na2PO4-0-25M,1.0634,9001,6,0.0,0.0,5.0,2019.06.06.12.34.28
Na2PO4-0-5M,1.0634,9001,9001,0.0,0.0,5.0,2019.05.11.07.04.08
Al2SO43-0-5M,1.09536,9000,3,0.0,0.0,5.0,2019.06.07.14.21.14
MgSO4-0-5M,1.0406,9000,4,0.0,0.0,5.0,2019.06.07.14.25.02
Li2SO4-2M,1.1666,9000,5,0.0,0.0,5.0,2019.06.07.14.30.58
Rb2SO4-0-75M,1.1596,9000,7,0.0,0.0,5.0,2019.06.07.14.34.44
K2SO4-0-5M,1.1048,9000,6,0.0,0.0,5.0,2019.06.07.14.42.11
NH4Cl-4M,1.0538,9001,7,0.0,0.0,5.0,2019.06.07.14.52.33
MeOH,0.792,9001,2,0.0,0.0,5.0,2019.06.07.14.52.33
L-Cysteine-50gL,1.0232,9000,3,320.0997,0.0,5.0,2019.07.25.16.50.45
L-AsparticAcid-4gL,1.016618,9000,4,460.03186,0.0,5.0,2019.07.25.16.51.55
Sucrose-50gL,1.02002,9000,5,459.97098,0.0,5.0,2019.07.25.16.52.35
L-Leucine-15gL,1.0,9000,6,459.92,0.0,5.0,2019.07.25.16.53.06
LacticAcid-1-20-vv,1.0,9000,7,459.96997,0.0,5.0,2019.07.25.16.54.00
L-TartaricAcid-50-gL,1.02,9001,1,459.9804,0.0,5.0,2019.07.25.16.54.49
D-+-Galactose,1.02,9001,2,359.9706,0.0,5.0,2019.07.25.16.55.48
D---Fructose,1.02,9001,3,360.049,0.0,5.0,2019.07.25.16.56.18
D-+-Glucose,1.02,9001,4,460.03925,0.0,5.0,2019.07.25.16.56.35
glycerol-1-20-vv,1.01,9001,5,460.0297,0.0,5.0,2019.07.25.16.56.58
L-Valine-50-gL,1.04,9001,6,400.10574,0.0,5.0,2019.07.25.16.57.23
L-Tyrosine-MAX-gL,1.0,9001,7,330.08997,0.0,5.0,2019.07.25.16.57.52
AscorbicAcid-50gL,1.018588,9001,7,240.01558,0.0,5.0,2019.07.30.16.36.30
DL-MalicAcid-50gL,1.013344,9001,5,240.05273,0.0,5.0,2019.07.30.16.37.27
D-+-MaltoseMonohydrate-50gL,1.01952,9000,7,239.9953,0.0,5.0,2019.07.30.16.42.07
OxalicAcid-50gL,1.021612,9001,4,240.02556,0.0,5.0,2019.07.30.16.43.02
D-LactoseMonohydrate-50gL,1.016682,9001,6,240.02638,0.0,5.0,2019.07.30.16.44.02
L-Threonine-11gL,1.004938,9000,6,239.99939,0.0,5.0,2019.07.30.16.44.36
L-Histidine-3gL,1.002374,9001,3,240.02368,0.0,5.0,2019.07.30.16.46.35
L-Asparagine-2gL,1.00121,9000,5,239.99211,0.0,5.0,2019.07.30.16.49.56
L-Methionine-40gL,1.009642,9000,3,240.04597,0.0,5.0,2019.07.30.16.50.28
Xylitol-50gL,1.016966,9001,2,239.99966,0.0,5.0,2019.07.30.16.51.01
L-Glutamine-29gL,1.010024,9001,1,239.98044,0.0,5.0,2019.07.30.16.51.53
L-+-Arabinose-50gL,1.016482,9000,4,240.02441,0.0,5.0,2019.07.30.16.52.28
L-Arginine-11gL,1.00436,9000,3,240.0235,0.0,5.0,2019.08.02.13.06.52
D-+-Mannose-50gL,1.024246,9000,4,239.98288,0.0,5.0,2019.08.02.13.07.16
L-Proline-P10-50gL,1.01506,9000,5,239.99074,0.0,5.0,2019.08.02.13.07.40
Glycine-20gL,1.00902,9000,6,240.0002,0.0,5.0,2019.08.02.13.08.07
L-Lysine-50gL,1.011858,9000,7,240.04802,0.0,5.0,2019.08.02.13.08.45
L-Tryptophan-9gL,1.002612,9000,5,240.78407,0.0,5.0,2019.08.02.15.43.27
L-Cysteine-50gL,1.017408,1,2,1000.0,0.0,5.0,2019.08.16.14.32.39
NaCl-3M,1.115382,0,5,1000.0,0.0,5.0,2019.08.16.14.33.08
NaOH-1mM,0.998836,1,5,1000.0,0.0,5.0,2019.08.16.14.34.03
HCl-1mM,0.99799,1,3,1000.0,0.0,5.0,2019.08.16.14.34.51
PVP-1wt,0.974826,0,3,1000.0,0.0,5.0,2019.08.16.14.35.19
SDS-1wt,0.988453,1,6,1000.0,0.0,5.0,2019.08.16.14.35.43
Sodiumsilicate-1wt,1.003459,0,4,1000.0,0.0,5.0,2019.08.16.14.36.17
AcidRed871_0gL,0.99703,0,6,1000.0,0.0,5.0,2019.08.16.14.36.33
RhodamineB1_0gL,0.992687,0,7,1000.0,0.0,5.0,2019.08.16.14.36.50
MethyleneB_250mgL,0.999374,1,1,1000.0,0.0,5.0,2019.08.16.14.37.06
